"step","date","time_days","pav_bar","wct_pct","gor_m3m3","wgr_m3m3"
1,2008-01-01,1,329.6,0,0,0
2,2008-01-01,1.63,329.6,0,0,0
3,2008-01-02,2.32,329.6,0,0,0
4,2008-01-03,3.5,329.6,0,0,0
5,2008-01-05,5.45,329.6,0,0,0
6,2008-01-08,8.22,329.6,0,0,0
7,2008-01-11,11,329.6,0,0,0
8,2008-01-14,14.61,329.6,0,0,0
9,2008-01-17,17.8,329.6,0,0,0
10,2008-01-21,21,329.6,0,0,0
11,2008-01-25,25.86,329.6,0,0,0
12,2008-01-28,28.43,329.6,0,0,0
13,2008-01-31,31,329.6,0,0,0
14,2008-02-04,35.47,329.6,0,0,0
15,2008-02-10,41,329.6,0,0,0
16,2008-02-15,46,327.4,0,158.82,0
17,2008-02-20,51,325.2,0,158.4,0
18,2008-02-26,57,322.6,0,158.01,0
19,2008-03-01,61,320.2,0,157.7,0
20,2008-03-06,66,317.1,0,157.35,0
21,2008-03-11,71,314.2,0,157.03,0
22,2008-03-16,76,311.1,0,156.71,0
23,2008-03-21,81,308.2,0,156.4,0
24,2008-03-21,81.5,308,0,156.38,0
25,2008-03-22,82.13,307.8,0,156.35,0
26,2008-03-23,83.1,307.4,0,156.31,0
27,2008-03-24,84.63,306.8,0,156.25,0
28,2008-03-27,87.01,305.9,0,156.16,0
29,2008-03-29,89.01,305.2,0,156.08,0
30,2008-03-31,91,304.5,0,156.01,0
31,2008-04-05,96,301.7,0,155.75,0
32,2008-04-10,101,299,0,155.52,0
33,2008-04-15,106,297.1,0,155.36,0
34,2008-04-20,111,295.2,0,155.21,0
35,2008-04-20,111.5,295.2,0,155.19,0
36,2008-04-21,112.03,295.1,0,155.17,0
37,2008-04-21,112.72,295.1,0,155.15,0
38,2008-04-22,113.7,295.1,0,155.11,0
39,2008-04-23,114.84,295,0,155.07,0
40,2008-04-25,116.46,294.9,0,155.02,0
41,2008-04-27,118.33,294.9,0,154.95,0
42,2008-04-30,121,294.7,0,154.87,0
43,2008-05-03,124.66,296.2,0,154.68,0
44,2008-05-06,127.11,297.2,0,154.55,0
45,2008-05-08,129.05,298,0,154.46,0
46,2008-05-10,131,298.8,0,154.36,0
47,2008-05-12,133.91,299.4,0,154.19,0
48,2008-05-15,136.6,299.9,0,154.03,0
49,2008-05-17,138.8,300.3,0,153.91,0
50,2008-05-20,141,300.7,0,153.79,0
51,2008-05-22,143.88,300.8,0,153.63,0
52,2008-05-25,146.56,300.9,0,153.49,0
53,2008-05-27,148.78,301,0,153.38,0
54,2008-05-30,151,301.1,0,153.27,0
55,2008-06-02,154.47,301,0,153.16,0
56,2008-06-05,157.56,301,0,153.07,0
57,2008-06-09,161,301,0,152.97,0
58,2008-06-14,166,300.5,0,152.83,0
59,2008-06-16,168.5,300.3,0,152.76,0
60,2008-06-19,171,300,0,152.7,0
61,2008-06-23,175.59,300.4,0,152.58,0
62,2008-06-26,178.29,300.6,0,152.52,0
63,2008-06-29,181,300.8,0,152.46,0
64,2008-07-03,185.9,301.8,0,152.35,0
65,2008-07-09,191,302.9,0,152.25,0
66,2008-07-10,192,302.4,0,153.93,0
67,2008-07-12,194.42,301.4,0,154.06,0
68,2008-07-15,197.71,299.9,0,154.17,0
69,2008-07-19,201,298.5,0,154.25,0
70,2008-07-24,206,298.9,0,155.88,0
71,2008-07-29,211,299.3,0,155.89,0
72,2008-08-03,216,299.4,0,156.34,0
73,2008-08-08,221,299.6,0,156.28,0
74,2008-08-13,226,297.2,0,155.64,0
75,2008-08-18,231,294.9,0,155.48,0
76,2008-08-23,236,296,0,154.06,0
77,2008-08-25,238.5,296.5,0,154.01,0
78,2008-08-28,241,297,0,153.96,0
79,2008-08-28,241.45,297.1,0,155.58,0
80,2008-08-28,241.75,297.2,0,155.58,0
81,2008-08-29,242.11,297.3,0,155.58,0
