"date","days","ocip","ooip","oil_otw","wat_otw","gas_otw","pav"
2007-12-31,0,21967455,21967455,0,0,0,329.61
2008-01-11,11,21967456,21967455,0,0,0,329.61
2008-01-21,21,21967455,21967455,0,0,0,329.62
2008-01-31,31,21967454,21967455,0,0,0,329.63
2008-02-10,41,21967454,21967455,0,0,0,329.64
2008-02-20,51,21948189,21967455,19265,0,3055593,325.21
2008-02-26,57,21936614,21967455,30840,0,4884638,322.63
2008-03-01,61,21925419,21967455,42035,0,6650055,320.17
2008-03-11,71,21897024,21967455,70430,0,11113293,314.17
2008-03-21,81,21867231,21967455,100223,1,15777548,308.19
2008-03-31,91,21846585,21967455,120869,1,19001704,304.49
2008-04-10,101,21817273,21967455,150181,1,23563796,298.99
2008-04-20,111,21795112,21967455,172342,1,27005099,295.18
2008-04-30,121,21772752,21967455,194702,22293,30471061,294.7
2008-05-10,131,21741263,21967455,226192,89687,35337576,298.77
2008-05-20,141,21698683,21967455,268771,161434,41894741,300.71
2008-05-30,151,21648557,21967455,318898,234843,49587013,301.08
2008-06-09,161,21610378,21967455,357076,288185,55430780,300.98
2008-06-14,166,21585522,21967455,381932,320326,59229491,300.51
2008-06-19,171,21560660,21967455,406794,352466,63026777,300.03
2008-06-29,181,21511310,21967455,456145,427804,70554340,300.82
2008-07-09,191,21462418,21967455,505037,511342,78000727,302.86
2008-07-10,192,21457523,21967455,509931,515528,78754160,302.42
2008-07-19,201,21413504,21967455,553951,553201,85540590,298.55
2008-07-29,211,21355646,21967455,611809,640543,94559725,299.25
2008-08-08,221,21306747,21967455,660707,712585,102203150,299.58
2008-08-18,231,21231589,21967455,735865,789986,113894828,294.94
2008-08-28,241,21185589,21967455,781866,868196,120979880,296.96
2008-09-07,251,21165052,21967455,802402,918119,124172860,300.15
2008-09-17,261,21101690,21967455,865765,958407,134059767,292.1
2008-09-27,271,21022572,21967455,944881,1005365,146185764,282.9
2008-10-07,281,20943696,21967455,1023758,1094847,158143375,280.43
2008-10-17,291,20875714,21967455,1091740,1192314,168448408,280.72
2008-10-27,301,20801343,21967455,1166111,1323101,179756599,283.88
2008-11-06,311,20719726,21967455,1247728,1449994,192181042,285.04
2008-11-16,321,20636358,21967455,1331096,1590655,204851856,287.78
2008-11-26,331,20553570,21967455,1413884,1725664,217460512,289.82
2008-12-06,341,20471952,21967455,1495501,1892955,229909795,297.08
2008-12-16,351,20384837,21967455,1582616,2054024,243210336,302.04
2008-12-19,354,20358286,21967455,1609167,2103848,247239641,303.67
2008-12-20,355,20349432,21967455,1618021,2120455,248582186,304.21
2008-12-26,361,20296243,21967455,1671211,2220102,256624865,307.45
2009-01-05,371,20208488,21967455,1758964,2379364,269833572,311.98
2009-01-15,381,20121699,21967455,1845753,2538125,282862053,316.67
2009-01-25,391,20034683,21967455,1932770,2702082,295948053,322.17
2009-02-04,401,19952076,21967455,2015376,2844760,308314318,325.19
2009-02-14,411,19871095,21967455,2096356,2989830,320415692,329.1
2009-02-24,421,19786086,21967455,2181366,3149880,333084470,334.63
2009-03-04,429,19720512,21967455,2246939,3273203,342824677,338.83
2009-03-06,431,19704107,21967455,2263345,3304034,345257516,339.87
2009-03-16,441,19638888,21967455,2328564,3345731,354869109,329.84
2009-03-26,451,19566297,21967455,2401155,3345730,365685621,311.43
2009-04-05,461,19522375,21967455,2445076,3399247,372205886,309.59
2009-04-15,471,19451980,21967455,2515470,3442210,382647083,299.87
2009-04-25,481,19376859,21967455,2590591,3504470,393775976,292.55
2009-05-05,491,19298421,21967455,2669029,3611594,405357871,291.67
2009-05-15,501,19222644,21967455,2744806,3750615,416506442,296.58
2009-05-25,511,19133513,21967455,2833938,3911941,429610576,301.97
