"date","cum_oil","cum_gas","cum_wat","vol_oil","vol_gas","vol_wat","vol_gi","vol_wi","cum_gi","cum_wi"
2008-01-01,0,0,0,0,0,0,0,0,0,0
2008-02-01,49091.06,7068009.29,412.61,49091.06,7068009.29,412.61,0,0,0,0
2008-03-01,132452.32,19259180.2,440.03,83361.26,12191170.91,27.42,0,0,0,0
2008-04-01,206984.77,30765620.94,922.08,74532.45,11506440.74,482.05,0,0,0,0
2008-05-01,332463.33,49857492.46,17202.2,125478.56,19091871.52,16280.12,0,0,0,0
2008-06-01,476250.18,71369826.39,17676.57,143786.85,21512333.93,474.37,0,0,0,0
2008-07-01,642529.87,96025129.24,18092.76,166279.69,24655302.85,416.19,0,0,0,0
2008-08-01,807973.53,119948669.82,18669.47,165443.66,23923540.58,576.71,0,0,0,0
2008-09-01,1000236.74,147475128.98,19133.59,192263.21,27526459.16,464.12,0,0,0,0
2008-10-01,1237411.03,181232829.25,19858.89,237174.29,33757700.27,725.3,0,0,0,0
2008-11-01,1487736.2,216975971.52,22439.09,250325.17,35743142.27,2580.2,0,0,0,0
2008-12-01,1764375.15,257038586.71,23508.94,276638.95,40062615.19,1069.85,0,0,0,0
2009-01-01,2033624.97,296012266.06,24876.49,269249.82,38973679.35,1367.55,0,0,0,0
2009-02-01,2269410.96,329693695.04,27405.73,235785.99,33681428.98,2529.24,0,0,0,0
2009-03-01,2453014.11,355519705.25,29083.9,183603.15,25826010.21,1678.17,0,0,0,0
2009-04-01,2690913.85,388377469.24,30576.66,237899.74,32857763.99,1492.76,0,0,0,0
2009-05-01,2948127.9,423688871.5,37123.2,257214.05,35311402.26,6546.54,0,0,0,0
2009-06-01,3167211.64,453618228.26,45513.01,219083.74,29929356.76,8389.81,0,0,0,0
2009-07-01,3338188.71,477468055.95,55575.18,170977.07,23849827.69,10062.17,0,0,0,0
2009-08-01,3563096.48,508809027.72,81392.97,224907.77,31340971.77,25817.79,0,0,0,0
2009-09-01,3743545.17,533927082.65,98902.89,180448.69,25118054.93,17509.92,0,0,0,0
2009-10-01,3967192.14,565303361.75,131814.74,223646.97,31376279.1,32911.85,0,0,0,0
2009-11-01,4201251.32,598306828.99,182118.06,234059.18,33003467.24,50303.32,0,0,0,0
2009-12-01,4448767.19,633020599.22,255612.68,247515.87,34713770.23,73494.62,0,0,0,0
2010-01-01,4680647.27,665626505.16,355847.11,231880.08,32605905.94,100234.43,0,0,0,0
2010-02-01,4845766.25,688898343.39,461063.02,165118.98,23271838.23,105215.91,0,0,0,0
2010-03-01,5014327.11,712598667.55,579622.37,168560.86,23700324.16,118559.35,0,0,0,0
2010-04-01,5173616.53,735048283.9,717483.77,159289.42,22449616.35,137861.4,0,0,0,0
2010-05-01,5338539.37,758508961.11,877237.52,164922.84,23460677.21,159753.75,0,0,0,0
2010-06-01,5483466.56,779210072.18,1057086.8,144927.19,20701111.07,179849.28,0,0,0,0
2010-07-01,5617106.5,798566983.3,1253357.3,133639.94,19356911.12,196270.5,0,0,0,0
2010-08-01,5685637.59,808456739.83,1364597.85,68531.09,9889756.53,111240.55,0,0,0,0
2010-09-01,5792355.73,824467502.9,1520533.47,106718.14,16010763.07,155935.62,0,0,0,0
2010-10-01,5922541.62,844062726.72,1721025.48,130185.89,19595223.82,200492.01,0,0,0,0
2010-11-01,6029565.55,860295153.04,1920231.11,107023.93,16232426.32,199205.63,0,0,0,0
2010-12-01,6138669.74,876968973.03,2143207.46,109104.19,16673819.99,222976.35,0,0,0,0
2011-01-01,6244744.74,893146178.33,2371261.02,106075,16177205.3,228053.56,0,0,0,0
2011-02-01,6317968.54,904495514.99,2536027.33,73223.8,11349336.66,164766.31,0,0,0,0
2011-03-01,6412073.55,918989489.17,2766764.91,94105.01,14493974.18,230737.58,0,0,0,0
2011-04-01,6501707.51,932919192.92,3005014.89,89633.96,13929703.75,238249.98,0,0,0,0
2011-05-01,6590033.84,946693860.89,3253914.22,88326.33,13774667.97,248899.33,0,0,0,0
2011-06-01,6643254.41,954941798.81,3409736.43,53220.57,8247937.92,155822.21,0,0,0,0
2011-07-01,6675928.14,959830116.09,3483636.07,32673.73,4888317.28,73899.64,0,0,0,0
2011-08-01,6762038.57,972958240.51,3691575.71,86110.43,13128124.42,207939.64,0,0,0,0
2011-09-01,6843090.87,985546031.45,3936005.16,81052.3,12587790.94,244429.45,0,0,0,0
2011-10-01,6877545.6,990872034.08,4045368.83,34454.73,5326002.63,109363.67,0,0,0,0
2011-11-01,6934378.54,999495705.34,4194728.15,56832.94,8623671.26,149359.32,0,0,0,0
2011-12-01,6986635.14,1007289168.37,4333847.74,52256.6,7793463.03,139119.59,0,0,0,0
2012-01-01,7032162.22,1014167900.54,4455223.83,45527.08,6878732.17,121376.09,0,0,0,0
