"Wellbore.name","NPDCode","Year","Month","On.Stream","Oil","Gas","Water","GI","WI"
"15/9-F-4",5693,2007,9,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2007,9,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-4",5693,2007,10,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2007,10,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-4",5693,2007,11,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2007,11,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-4",5693,2007,12,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2007,12,"NULL","NULL","NULL","NULL","NULL","NULL"
"15/9-F-4",5693,2008,1,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2008,1,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,2,"406.62499","49091.06","7068009.29","412.61","NULL","NULL"
"15/9-F-14",5351,2008,2,"0","0","0","0","NULL","NULL"
"15/9-F-4",5693,2008,2,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-5",5769,2008,2,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,3,"655.10834","83361.26","12191170.91","27.42","NULL","NULL"
"15/9-F-14",5351,2008,3,"0","0","0","0","NULL","NULL"
"15/9-F-4",5693,2008,3,"0","NULL","NULL","NULL","NULL","0"
"15/9-F-5",5769,2008,3,"0","NULL","NULL","NULL","NULL","0"
"15/9-F-12",5599,2008,4,"613.64666","74532.45","11506440.74","482.05","NULL","NULL"
"15/9-F-14",5351,2008,4,"0","0","0","0","NULL","NULL"
"15/9-F-4",5693,2008,4,"118.65","NULL","NULL","NULL","NULL","29752.6868934256"
"15/9-F-5",5769,2008,4,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,5,"716.19167","125478.56","19091871.52","16280.12","NULL","NULL"
"15/9-F-14",5351,2008,5,"0","0","0","0","NULL","NULL"
"15/9-F-4",5693,2008,5,"714.005","NULL","NULL","NULL","NULL","221337.106474167"
"15/9-F-5",5769,2008,5,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,6,"675.91669","143786.85","21512333.93","474.37","NULL","NULL"
"15/9-F-14",5351,2008,6,"0","0","0","0","NULL","NULL"
"15/9-F-4",5693,2008,6,"598.81667","NULL","NULL","NULL","NULL","211803.653863971"
"15/9-F-5",5769,2008,6,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,7,"710.74165","114994.61","17116441.78","290.02","NULL","NULL"
"15/9-F-14",5351,2008,7,"437.57","51285.08","7538861.07","126.17","NULL","NULL"
"15/9-F-4",5693,2008,7,"620.80833","NULL","NULL","NULL","NULL","232029.662740333"
"15/9-F-5",5769,2008,7,"0","NULL","NULL","NULL","NULL","NULL"
"15/9-F-12",5599,2008,8,"672.83334","97822.46","14143008.24","354.18","NULL","NULL"
"15/9-F-14",5351,2008,8,"458.4","67621.2","9780532.34","222.53","NULL","NULL"
"15/9-F-4",5693,2008,8,"663.07502","NULL","NULL","NULL","NULL","213913.263893971"
"15/9-F-5",5769,2008,8,"98.08167","NULL","NULL","NULL","NULL","14480.9320771154"
"15/9-F-12",5599,2008,9,"567.97499","77666.95","11185944.41","188.39","NULL","NULL"
"15/9-F-14",5351,2008,9,"642.70833","114596.26","16340514.75","275.73","NULL","NULL"
"15/9-F-4",5693,2008,9,"558.14562","NULL","NULL","NULL","NULL","98583.3012661537"
"15/9-F-5",5769,2008,9,"557.88057","NULL","NULL","NULL","NULL","64814.2865244753"
"15/9-F-12",5599,2008,10,"737.50001","94357.23","13430833.95","624.05","NULL","NULL"
"15/9-F-14",5351,2008,10,"742.5","142817.06","20326866.32","101.25","NULL","NULL"
"15/9-F-4",5693,2008,10,"701.91667","NULL","NULL","NULL","NULL","233503.405901225"
"15/9-F-5",5769,2008,10,"563.99999","NULL","NULL","NULL","NULL","122254.371735423"
"15/9-F-12",5599,2008,11,"712.66667","145915.56","20837122.26","2390.31","NULL","NULL"
